id,user,location,geo_enabled,geo,coordinates,text,created_at
1445589115454513200,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [26.37545356, -80.10168314]}","{'type': 'Point', 'coordinates': [-80.10168314, 26.37545356]}",FAU Football 2021 @faufootball   @adidas   @adidasfootball   #nikon   #nikonphotography   #nikond6   #nikon400mmf28 @ FAU Stadium https://t.co/uvOSvfH1Zz,Wed Oct 06 03:17:57 +0000 2021
1445727722160939000,240356847,Miami,True,"{'type': 'Point', 'coordinates': [43.95997, -71.19635]}","{'type': 'Point', 'coordinates': [-71.19635, 43.95997]}","No time to be bored in a world as beautiful as this. Take me back to the mountains.
#thesweatlife
@lululemon @ Albany, New Hampshire https://t.co/11tOnDT3mj",Wed Oct 06 12:28:43 +0000 2021
1445763773319442400,176502440,"Pittsburgh, PA",True,"{'type': 'Point', 'coordinates': [28.13333333, -81.63166667]}","{'type': 'Point', 'coordinates': [-81.63166667, 28.13333333]}","pickin my poison ☠️ sand &gt; snow
@jumpman23 @nike 

②⑥ dayz till im moved into the sunshine state 👟💙❕🌊 @ Florida https://t.co/3s17pbjnto",Wed Oct 06 14:51:59 +0000 2021
1445828659441545200,1410063799206518800,United States,True,"{'type': 'Point', 'coordinates': [38.2525, -85.7554]}","{'type': 'Point', 'coordinates': [-85.7554, 38.2525]}","Hola Otoño...🧡🍁🔥💋  #hellofall 
.
.
📸: @sullivanimages 
Jacket: @nike 
Boots: @fashionnova 
Watch: @bebe 
.
#bootseason #fallcolors🍁🍂 #instafashionista #lunabae💋 @ Louisville, Kentucky https://t.co/KlPn41vLcb",Wed Oct 06 19:09:49 +0000 2021
1446440251912769500,62662024,NYC ,True,"{'type': 'Point', 'coordinates': [40.7779, -73.9675]}","{'type': 'Point', 'coordinates': [-73.9675, 40.7779]}","@starbucks.stories @starbucks @hellskitchennyc @nike @ Manhattan, New York https://t.co/fl3oj0lzrQ",Fri Oct 08 11:40:04 +0000 2021
1446457698275537000,24836531,"Colorado Springs, CO",True,"{'type': 'Point', 'coordinates': [38.96871257, -104.7458821]}","{'type': 'Point', 'coordinates': [-104.7458821, 38.96871257]}",#run #runmizelrun ❤️⛳️🏌🏻‍♂️🦚♥️ @nike @nikegolf @nikerunning @ Lifetime Fitness https://t.co/NMOQHUrlyf,Fri Oct 08 12:49:23 +0000 2021
1446496358551097300,240356847,Miami,True,"{'type': 'Point', 'coordinates': [25.73199504, -80.33084501]}","{'type': 'Point', 'coordinates': [-80.33084501, 25.73199504]}","By doing what you love, you inspire &amp; awaken the hearts of others.
#thesweatlife
#coachlikeachampion
#teamSOUL
@crossfitsoul
@lululemon @ CrossFit Soul https://t.co/IbLnSIHznv",Fri Oct 08 15:23:01 +0000 2021
1446509915619668000,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [26.18437, -80.10892]}","{'type': 'Point', 'coordinates': [-80.10892, 26.18437]}",Gibbons Homecoming Game @cardinalgibbonsfootball   @cghsfl   @adidas   @adidasfootball   #nikon   #nikonphotography   #nikond6   #nikkor @ Cardinal Gibbons High School FTL https://t.co/HrWYllJoXc,Fri Oct 08 16:16:53 +0000 2021
1446559765824483300,2336353748,"Bay Area, CA ",True,"{'type': 'Point', 'coordinates': [37.94938135, -122.5378316]}","{'type': 'Point', 'coordinates': [-122.5378316, 37.94938135]}",Sunset at the creek on my 108th @Nike Run Club 5k 🏃‍♀️last night. Auspicious # for Navratri. 🕉 #sunset #run #nikerunclub #workout #fitness #bayarea #california #navratri #nofilter @ Creekside Park https://t.co/wjmlZUIhpC,Fri Oct 08 19:34:58 +0000 2021
1446839074409656300,109745686,"Gainesville, FL",True,"{'type': 'Point', 'coordinates': [29.65579721, -82.4796151]}","{'type': 'Point', 'coordinates': [-82.4796151, 29.65579721]}",3.25 mi🏃‍♂️ and 1.09 mi 😎 ⬇️ walk. 72 degrees and ☀️. #workout #motivation #run #running #5ktraining #10ktraining #chubsternationfriday #kiltedkarafa @chubbies #runningshorts @nike #runningtank @saucony #runningshoes https://t.co/Oc3GM9Q8yu,Sat Oct 09 14:04:50 +0000 2021
1446915022425370600,273204025,"Dallas, TX",True,"{'type': 'Point', 'coordinates': [32.72091, -96.83393]}","{'type': 'Point', 'coordinates': [-96.83393, 32.72091]}",Bicep Curls sporting my new Nike Skull Cap. They match my weightlifting shoes! @kaepernick7 @nike @inov_8 @harbingerfitness @therock @usmc_gear @ LA Fitness https://t.co/OZgGWMqe1V,Sat Oct 09 19:06:38 +0000 2021
1446938173737775000,107618106,Maine,True,"{'type': 'Point', 'coordinates': [41.883222, -87.632496]}","{'type': 'Point', 'coordinates': [-87.632496, 41.883222]}","Tomorrow morning the battle begins on streets of @chimarathon with @galenruppofficial ready to rumble @nike @nbcsports @wmmajors #chicagomarathon #worldmarathonmajors #heavyweight division @ Chicago, Illinois https://t.co/f9gcPY9sXe",Sat Oct 09 20:38:38 +0000 2021
1446999346185003000,159728252,"Mill Creek, WA  98102",True,"{'type': 'Point', 'coordinates': [47.8572, -122.22039]}","{'type': 'Point', 'coordinates': [-122.22039, 47.8572]}","Stoked for these! @adidas Boost! @uw_football @uwathletics #BowDown @ Mill Creek, Washington https://t.co/CqYs3c4FEC",Sun Oct 10 00:41:42 +0000 2021
1447068513500291000,32739519,"Philadelphia, PA",True,"{'type': 'Point', 'coordinates': [39.9527, -75.1651]}","{'type': 'Point', 'coordinates': [-75.1651, 39.9527]}","#sneakers #sneakerhead #kicks #moto #bikelife #motolife #youngboss #ojv @adidasoriginals @adidas @ Philadelphia, Pennsylvania https://t.co/xyBH1PXabg",Sun Oct 10 05:16:33 +0000 2021
